serial_number,age_in_years,job_description,marital_status,education_details,has_default,balance_in_account,housing_status,previous_loan,phone_type,date,month_of_year,call_duration,campaign_contacts,days_passed,previous_contact,poutcome_of_campaign
2398,52,self-employed,married,tertiary,no,6657,no,no,telephone,30,apr,917,1,-1,0,unknown
2399,38,management,married,tertiary,no,613,no,no,cellular,30,apr,242,1,86,1,success
2400,31,management,single,tertiary,no,2915,no,no,cellular,30,apr,228,1,86,1,failure
2401,41,unemployed,divorced,primary,no,487,no,no,cellular,30,apr,157,1,-1,0,unknown
2402,34,self-employed,single,tertiary,no,5462,no,no,cellular,30,apr,430,1,-1,0,unknown
2403,29,technician,single,secondary,no,674,no,no,cellular,30,apr,483,1,13,5,success
2404,26,student,single,tertiary,no,2,no,no,cellular,30,apr,120,2,-1,0,unknown
2405,55,management,single,tertiary,no,0,no,no,cellular,30,apr,156,3,-1,0,unknown
2406,58,retired,married,primary,no,2969,no,no,telephone,30,apr,130,1,-1,0,unknown
2407,30,management,single,tertiary,no,364,no,no,cellular,30,apr,306,2,-1,0,unknown
2408,56,management,married,tertiary,no,746,no,no,cellular,30,apr,193,1,-1,0,unknown
2409,37,management,married,tertiary,no,57,no,no,cellular,30,apr,96,2,84,1,success
2410,40,admin.,divorced,secondary,no,2129,no,no,cellular,30,apr,452,1,-1,0,unknown
2411,23,technician,single,unknown,no,314,no,no,cellular,30,apr,666,1,-1,0,unknown
2412,44,technician,married,tertiary,no,1818,yes,yes,cellular,30,apr,247,1,-1,0,unknown
2413,31,services,single,secondary,no,181,no,no,cellular,30,apr,325,1,-1,0,unknown
2414,24,student,single,primary,no,474,no,no,cellular,30,apr,551,1,-1,0,unknown
2415,25,management,single,tertiary,no,219,no,no,cellular,30,apr,458,1,-1,0,unknown
2416,47,management,single,tertiary,no,86,no,no,cellular,30,apr,387,3,87,1,success
2417,34,self-employed,married,tertiary,no,442,yes,no,cellular,30,apr,69,1,164,2,other
2418,33,student,single,unknown,no,1170,no,no,cellular,30,apr,352,1,-1,0,unknown
2419,34,admin.,single,tertiary,no,18,yes,yes,cellular,30,apr,359,1,-1,0,unknown
2420,47,technician,married,secondary,no,0,yes,no,cellular,30,apr,81,1,164,1,failure
2421,36,technician,single,tertiary,no,197,no,no,cellular,30,apr,260,1,-1,0,unknown
2422,25,technician,married,tertiary,no,400,no,no,cellular,30,apr,352,1,-1,0,unknown
2423,50,management,married,tertiary,no,938,no,no,cellular,30,apr,780,1,-1,0,unknown
2424,31,self-employed,single,tertiary,no,1815,no,no,telephone,30,apr,107,1,80,1,success
2425,34,management,single,tertiary,no,1228,no,no,cellular,30,apr,580,2,84,8,success
2426,31,services,single,tertiary,no,620,no,no,cellular,30,apr,214,1,87,1,failure
2427,54,technician,divorced,secondary,no,2156,yes,no,cellular,30,apr,258,1,86,5,success
2428,32,management,single,tertiary,no,566,no,no,cellular,30,apr,114,2,-1,0,unknown
2429,38,management,divorced,secondary,no,257,yes,no,cellular,30,apr,435,1,-1,0,unknown
2430,53,blue-collar,married,secondary,no,6112,no,no,cellular,30,apr,211,1,86,1,success
2431,56,retired,married,primary,no,1947,no,no,cellular,30,apr,441,2,-1,0,unknown
2432,47,technician,married,tertiary,no,2408,no,no,cellular,30,apr,376,1,-1,0,unknown
2433,31,admin.,married,secondary,no,35,no,no,cellular,30,apr,615,1,-1,0,unknown
2434,36,management,married,tertiary,no,393,yes,no,cellular,30,apr,555,2,-1,0,unknown
2435,58,unemployed,married,secondary,no,687,yes,no,cellular,30,apr,341,2,-1,0,unknown
2436,25,student,single,secondary,no,2354,no,no,cellular,30,apr,149,1,84,7,success
2437,35,services,married,unknown,no,618,no,no,cellular,30,apr,951,1,-1,0,unknown
2438,43,blue-collar,married,secondary,no,2105,no,no,telephone,30,apr,93,2,-1,0,unknown
2439,28,student,single,tertiary,no,3054,no,no,cellular,30,apr,384,1,80,6,other
2440,53,unemployed,married,primary,no,142,no,no,cellular,30,apr,168,2,-1,0,unknown
2441,25,student,single,secondary,no,1608,no,no,cellular,30,apr,664,2,-1,0,unknown
2442,51,management,single,tertiary,no,5341,no,no,cellular,30,apr,184,2,-1,0,unknown
2443,52,blue-collar,married,secondary,no,1319,no,no,telephone,30,apr,37,2,-1,0,unknown
2444,57,housemaid,divorced,unknown,no,11632,no,no,telephone,30,apr,71,2,-1,0,unknown
2445,43,unemployed,married,secondary,no,775,no,no,cellular,30,apr,488,1,-1,0,unknown
2446,41,entrepreneur,married,secondary,no,30,no,no,cellular,30,apr,460,1,-1,0,unknown
2447,46,management,married,tertiary,no,699,no,no,cellular,30,apr,970,1,87,1,failure
2448,27,blue-collar,single,primary,no,3342,yes,no,cellular,30,apr,761,2,330,4,failure
2449,35,management,married,tertiary,no,495,no,no,cellular,30,apr,266,1,87,1,failure
2450,49,entrepreneur,single,secondary,no,5802,no,no,cellular,30,apr,618,2,-1,0,unknown
2451,23,technician,single,secondary,no,598,no,no,cellular,30,apr,166,1,-1,0,unknown
2452,58,blue-collar,married,unknown,no,3585,no,no,cellular,30,apr,122,1,167,1,success
2453,47,blue-collar,married,primary,no,2749,yes,no,cellular,30,apr,774,2,164,1,failure
2454,25,management,single,tertiary,no,436,no,no,cellular,30,apr,132,2,-1,0,unknown
2455,54,management,married,unknown,no,527,yes,no,cellular,30,apr,112,1,281,3,failure
2456,26,student,single,unknown,no,2503,no,no,cellular,30,apr,121,1,63,2,failure
2457,35,management,single,tertiary,no,1162,no,no,cellular,30,apr,175,1,-1,0,unknown
2458,30,technician,single,unknown,no,766,no,no,cellular,30,apr,296,1,-1,0,unknown
2459,34,management,married,tertiary,no,0,yes,no,cellular,30,apr,300,1,86,1,success
2460,30,technician,married,secondary,no,776,no,no,cellular,30,apr,861,2,-1,0,unknown
2461,54,management,married,tertiary,no,1014,no,yes,cellular,30,apr,240,1,162,2,failure
2462,58,retired,married,secondary,no,919,yes,yes,cellular,30,apr,329,2,346,2,failure
2463,49,admin.,single,unknown,no,1226,no,no,cellular,30,apr,400,1,-1,0,unknown
2464,38,technician,married,secondary,no,865,yes,no,cellular,30,apr,503,3,-1,0,unknown
2465,31,management,single,tertiary,no,1619,no,no,cellular,30,apr,327,2,-1,0,unknown
2466,49,blue-collar,married,secondary,no,298,yes,no,cellular,30,apr,264,2,86,3,failure
2467,57,admin.,married,primary,no,1119,no,no,cellular,30,apr,176,2,-1,0,unknown
2468,30,blue-collar,married,secondary,no,4389,yes,no,cellular,30,apr,82,6,-1,0,unknown
2469,41,admin.,married,primary,no,1316,yes,no,cellular,30,apr,127,3,-1,0,unknown
2470,39,housemaid,married,tertiary,no,2990,no,no,telephone,30,apr,127,4,-1,0,unknown
2471,44,blue-collar,married,secondary,no,630,no,no,cellular,30,apr,192,2,-1,0,unknown
2472,30,student,single,secondary,no,25,no,no,telephone,30,apr,44,1,-1,0,unknown
2473,70,technician,married,secondary,no,3020,no,no,telephone,30,apr,56,1,-1,0,unknown
2474,35,management,married,tertiary,no,71,yes,no,cellular,30,apr,510,2,-1,0,unknown
2475,55,admin.,married,secondary,no,139,no,no,cellular,30,apr,241,1,-1,0,unknown
2476,30,management,single,tertiary,no,620,yes,no,cellular,30,apr,513,1,-1,0,unknown
2477,25,admin.,single,secondary,no,2816,no,no,cellular,30,apr,327,1,-1,0,unknown
2478,47,blue-collar,married,secondary,no,2173,yes,no,cellular,30,apr,189,3,344,5,failure
2479,26,technician,single,secondary,no,507,no,no,cellular,30,apr,380,1,-1,0,unknown
2480,85,retired,married,primary,no,98,no,no,cellular,30,apr,416,1,-1,0,unknown
2481,39,management,married,tertiary,no,4539,no,no,cellular,30,apr,301,1,-1,0,unknown
2482,46,technician,married,unknown,no,3914,yes,no,cellular,30,apr,247,1,-1,0,unknown
2483,34,management,married,tertiary,no,-308,yes,no,cellular,30,apr,140,2,-1,0,unknown
2484,34,student,single,unknown,no,1281,no,no,cellular,30,apr,109,1,-1,0,unknown
2485,35,technician,married,secondary,no,-288,yes,yes,cellular,30,apr,126,3,-1,0,unknown
2486,25,technician,single,secondary,no,1105,yes,no,cellular,30,apr,195,1,13,1,failure
2487,55,blue-collar,married,primary,no,3297,yes,yes,telephone,30,apr,96,1,-1,0,unknown
2488,35,admin.,single,secondary,no,206,yes,no,cellular,30,apr,144,2,-1,0,unknown
2489,45,admin.,married,secondary,no,1435,yes,no,cellular,30,apr,257,1,-1,0,unknown
2490,59,housemaid,married,primary,no,182,no,no,cellular,30,apr,92,1,86,1,failure
2491,33,services,married,secondary,no,478,no,no,cellular,30,apr,475,2,-1,0,unknown
2492,30,technician,married,secondary,no,1660,yes,no,cellular,30,apr,236,1,-1,0,unknown
2493,36,management,married,tertiary,no,2957,yes,yes,cellular,30,apr,193,2,265,3,success
2494,29,management,single,tertiary,no,2753,no,no,cellular,30,apr,645,1,-1,0,unknown
2495,39,management,married,tertiary,no,0,no,no,cellular,30,apr,342,3,22,3,other
2496,45,technician,married,secondary,no,89,yes,no,cellular,30,apr,73,2,350,2,failure
2497,33,blue-collar,single,secondary,no,498,no,no,cellular,30,apr,301,1,-1,0,unknown
2498,38,technician,single,secondary,no,565,yes,no,cellular,30,apr,1143,1,-1,0,unknown
2499,33,blue-collar,single,tertiary,no,700,no,no,cellular,30,apr,169,1,80,2,success
2500,58,management,married,tertiary,no,4152,yes,no,cellular,30,apr,750,2,164,4,other
2501,32,management,single,tertiary,no,697,no,no,cellular,30,apr,210,3,-1,0,unknown
2502,61,retired,divorced,secondary,no,927,no,no,cellular,30,apr,427,3,-1,0,unknown
2503,32,management,single,tertiary,no,0,yes,no,cellular,30,apr,370,3,-1,0,unknown
2504,35,admin.,married,tertiary,no,286,no,no,cellular,30,apr,949,2,-1,0,unknown
2505,32,management,married,tertiary,no,1388,yes,no,cellular,30,apr,753,1,-1,0,unknown
2506,41,management,married,tertiary,no,27696,no,no,cellular,30,apr,108,1,-1,0,unknown
2507,29,management,married,tertiary,no,30,no,no,cellular,30,apr,139,1,-1,0,unknown
2508,29,unemployed,single,secondary,no,486,no,no,telephone,30,apr,95,1,-1,0,unknown
2509,50,admin.,single,secondary,no,2252,no,no,cellular,30,apr,652,2,-1,0,unknown
2510,31,technician,single,tertiary,no,454,no,no,cellular,30,apr,266,1,-1,0,unknown
2511,31,admin.,single,tertiary,no,4041,no,no,cellular,30,apr,1034,2,-1,0,unknown
2512,54,technician,married,secondary,no,0,no,no,telephone,30,apr,766,3,84,3,success
2513,33,technician,married,tertiary,no,0,no,no,cellular,30,apr,227,2,-1,0,unknown
2514,48,management,married,secondary,no,36686,no,no,cellular,30,apr,295,1,-1,0,unknown
2515,36,admin.,single,secondary,no,728,no,no,cellular,30,apr,230,1,-1,0,unknown
2516,31,management,single,tertiary,no,354,no,no,cellular,30,apr,502,1,9,2,success
2517,32,technician,single,tertiary,no,1246,yes,no,cellular,30,apr,509,1,85,2,success
2518,28,services,single,primary,no,307,no,no,cellular,30,apr,132,1,-1,0,unknown
2519,34,management,married,tertiary,no,3047,no,no,cellular,30,apr,317,1,160,5,other
2520,49,housemaid,divorced,secondary,no,0,no,no,telephone,30,apr,136,2,-1,0,unknown
2521,24,student,single,secondary,no,382,no,no,cellular,30,apr,567,2,-1,0,unknown
2522,29,management,single,tertiary,no,36252,yes,no,cellular,30,apr,501,1,-1,0,unknown
2523,27,admin.,married,tertiary,no,73,no,no,cellular,30,apr,374,1,79,1,success
2524,40,management,married,tertiary,no,158,no,no,telephone,30,apr,712,2,-1,0,unknown
2525,26,self-employed,single,tertiary,no,553,no,no,cellular,30,apr,347,3,-1,0,unknown
2526,28,self-employed,single,secondary,no,68,no,no,cellular,30,apr,157,1,-1,0,unknown
2527,29,blue-collar,single,secondary,no,734,yes,yes,cellular,30,apr,259,1,296,1,other
2528,30,admin.,single,tertiary,no,305,no,no,cellular,30,apr,633,1,85,2,success
2529,24,student,single,secondary,no,160,no,no,cellular,4,may,109,2,-1,0,unknown
2530,33,self-employed,married,tertiary,no,263,no,no,cellular,4,may,119,2,-1,0,unknown
2531,57,management,married,tertiary,no,350,no,no,telephone,4,may,87,3,-1,0,unknown
2532,31,student,single,tertiary,no,0,no,no,cellular,4,may,47,2,-1,0,unknown
2533,26,self-employed,married,tertiary,no,219,no,no,cellular,4,may,104,5,-1,0,unknown
2534,45,blue-collar,married,secondary,no,10252,no,no,cellular,4,may,675,2,-1,0,unknown
2535,37,technician,single,tertiary,no,6101,no,no,cellular,4,may,60,5,87,1,success
2536,37,management,single,tertiary,no,3141,no,no,cellular,4,may,384,2,-1,0,unknown
2537,29,student,single,secondary,no,1854,no,no,telephone,4,may,390,3,-1,0,unknown
2538,36,technician,single,secondary,no,1228,yes,no,cellular,4,may,303,3,-1,0,unknown
2539,52,management,married,tertiary,no,1356,yes,no,cellular,4,may,312,2,-1,0,unknown
2540,60,blue-collar,married,primary,no,1723,no,no,cellular,4,may,160,4,83,3,failure
2541,27,student,single,unknown,no,1444,no,no,cellular,4,may,130,1,91,2,failure
2542,27,technician,single,secondary,no,1511,yes,no,cellular,4,may,74,1,-1,0,unknown
2543,40,management,married,tertiary,no,7780,no,no,telephone,4,may,364,1,355,1,other
2544,36,management,married,tertiary,no,130,no,no,cellular,4,may,65,1,-1,0,unknown
2545,40,technician,single,tertiary,no,1646,yes,no,cellular,4,may,392,2,91,3,success
2546,50,management,single,unknown,no,1277,no,no,cellular,4,may,63,1,-1,0,unknown
2547,34,management,single,tertiary,no,1058,yes,no,cellular,4,may,240,1,-1,0,unknown
2548,28,unemployed,single,primary,no,236,no,no,cellular,4,may,193,1,87,3,failure
2549,33,management,single,tertiary,no,5437,no,no,cellular,4,may,267,1,91,1,failure
2550,31,services,single,secondary,no,125,no,no,cellular,4,may,200,1,91,1,failure
2551,33,technician,married,secondary,no,133,no,no,cellular,4,may,218,1,-1,0,unknown
2552,56,management,married,tertiary,no,2333,no,no,cellular,4,may,244,1,-1,0,unknown
2553,46,management,married,tertiary,no,1446,no,no,cellular,4,may,359,1,-1,0,unknown
2554,34,technician,single,tertiary,no,992,yes,no,cellular,4,may,301,1,88,2,success
2555,39,admin.,married,secondary,no,140,no,no,cellular,4,may,40,5,-1,0,unknown
2556,20,student,married,unknown,no,292,no,no,cellular,4,may,45,1,-1,0,unknown
2557,45,blue-collar,married,secondary,no,640,yes,no,cellular,4,may,447,1,-1,0,unknown
2558,33,management,single,tertiary,no,417,yes,no,cellular,4,may,170,2,87,1,failure
2559,50,management,divorced,tertiary,no,1270,yes,no,cellular,4,may,24,3,-1,0,unknown
2560,25,student,single,tertiary,no,253,no,no,cellular,4,may,597,1,-1,0,unknown
2561,41,blue-collar,married,secondary,no,5060,no,no,cellular,4,may,963,1,83,3,success
2562,38,technician,divorced,secondary,no,902,yes,no,cellular,4,may,301,3,90,1,success
2563,47,technician,married,secondary,no,335,no,no,cellular,4,may,417,1,76,1,success
2564,60,admin.,divorced,secondary,no,4519,no,no,cellular,4,may,136,1,91,1,failure
2565,49,management,married,tertiary,no,1,no,no,telephone,4,may,1076,3,175,1,success
2566,34,management,single,tertiary,no,14,yes,no,telephone,4,may,47,1,-1,0,unknown
2567,36,services,single,secondary,no,365,no,no,cellular,4,may,643,1,-1,0,unknown
2568,36,technician,married,tertiary,no,911,yes,yes,cellular,4,may,275,3,-1,0,unknown
2569,37,entrepreneur,single,secondary,no,20453,yes,no,telephone,4,may,115,1,-1,0,unknown
2570,42,admin.,single,secondary,no,1451,yes,no,cellular,4,may,251,4,-1,0,unknown
2571,24,student,single,unknown,no,0,no,no,cellular,4,may,90,2,-1,0,unknown
2572,33,technician,single,tertiary,no,1636,yes,no,cellular,4,may,592,1,66,1,success
2573,26,services,single,secondary,no,256,yes,no,cellular,4,may,101,2,-1,0,unknown
2574,49,admin.,married,secondary,no,3620,no,no,cellular,4,may,346,2,-1,0,unknown
2575,25,services,single,secondary,no,642,yes,yes,cellular,4,may,364,2,-1,0,unknown
2576,40,blue-collar,married,primary,no,-388,yes,no,cellular,4,may,195,3,340,1,failure
2577,36,admin.,married,tertiary,no,3221,no,no,cellular,4,may,322,11,-1,0,unknown
2578,28,blue-collar,single,tertiary,no,1984,yes,no,cellular,4,may,32,2,14,1,failure
2579,31,management,single,tertiary,no,630,no,no,cellular,4,may,95,2,91,2,failure
2580,30,management,single,tertiary,no,220,yes,no,cellular,4,may,233,2,-1,0,unknown
2581,44,blue-collar,single,secondary,no,0,yes,no,cellular,4,may,64,2,19,1,failure
2582,52,unemployed,married,secondary,no,94,no,no,cellular,4,may,223,9,4,1,success
2583,33,admin.,married,tertiary,no,69,no,yes,cellular,4,may,77,2,-1,0,unknown
2584,22,admin.,single,tertiary,no,897,yes,no,cellular,4,may,98,4,89,4,success
2585,60,housemaid,married,primary,no,2580,no,no,telephone,4,may,15,5,-1,0,unknown
2586,60,technician,married,secondary,no,316,no,no,cellular,4,may,545,2,263,4,failure
2587,33,technician,married,secondary,no,2044,yes,no,cellular,4,may,532,3,-1,0,unknown
2588,29,services,single,tertiary,no,8947,yes,no,cellular,4,may,535,2,-1,0,unknown
2589,39,services,married,secondary,no,8876,no,no,cellular,4,may,106,1,91,2,failure
2590,32,student,single,tertiary,no,214,no,no,cellular,4,may,117,1,-1,0,unknown
2591,28,management,single,tertiary,no,672,no,no,cellular,4,may,174,1,-1,0,unknown
2592,45,services,married,tertiary,no,4958,no,no,cellular,4,may,212,4,-1,0,unknown
2593,33,technician,married,secondary,no,557,no,no,cellular,4,may,367,1,-1,0,unknown
2594,35,unemployed,married,secondary,no,977,yes,no,cellular,4,may,52,4,91,1,other
2595,33,services,single,secondary,no,489,yes,no,cellular,4,may,297,4,334,1,other
2596,67,retired,married,unknown,no,696,no,no,telephone,4,may,77,2,-1,0,unknown
2597,57,admin.,single,secondary,no,738,no,no,cellular,4,may,490,3,168,1,failure
2598,32,student,single,tertiary,no,1138,no,no,cellular,4,may,214,3,83,3,success
2599,44,blue-collar,married,secondary,no,4236,yes,no,cellular,4,may,378,3,-1,0,unknown
2600,49,management,married,tertiary,no,1,yes,no,cellular,4,may,7,4,-1,0,unknown
2601,48,blue-collar,married,secondary,no,863,yes,no,telephone,4,may,412,5,350,2,success
2602,28,student,single,secondary,no,891,no,no,telephone,4,may,34,6,-1,0,unknown
2603,48,management,divorced,tertiary,no,428,yes,no,cellular,4,may,347,2,167,2,failure
2604,49,blue-collar,married,primary,no,1133,yes,no,cellular,4,may,291,3,-1,0,unknown
2605,39,admin.,married,secondary,no,563,yes,no,cellular,4,may,190,3,-1,0,unknown
2606,35,technician,single,secondary,no,5731,yes,no,cellular,4,may,164,2,167,4,other
2607,28,admin.,single,secondary,no,1842,yes,no,cellular,4,may,92,2,-1,0,unknown
2608,34,management,single,tertiary,no,2187,yes,no,cellular,4,may,26,5,-1,0,unknown
2609,28,blue-collar,married,primary,no,-65,yes,no,cellular,4,may,90,4,-1,0,unknown
2610,47,management,married,secondary,no,2010,no,no,telephone,4,may,222,6,-1,0,unknown
2611,42,management,single,tertiary,no,10907,no,no,cellular,4,may,74,3,-1,0,unknown
2612,31,management,single,tertiary,no,6495,no,no,cellular,4,may,383,2,35,3,failure
2613,26,admin.,single,secondary,no,160,no,yes,cellular,4,may,172,2,-1,0,unknown
2614,41,admin.,married,tertiary,no,1536,no,no,cellular,4,may,54,2,-1,0,unknown
2615,44,admin.,married,secondary,no,10354,no,no,telephone,4,may,96,1,-1,0,unknown
2616,29,management,married,tertiary,no,451,no,no,cellular,4,may,54,1,96,1,failure
2617,26,management,single,tertiary,no,4683,yes,no,cellular,4,may,334,2,180,1,failure
2618,22,student,single,secondary,no,1925,no,no,cellular,4,may,180,1,-1,0,unknown
2619,36,management,single,tertiary,no,1876,no,no,cellular,4,may,150,1,-1,0,unknown
2620,50,management,married,tertiary,no,346,no,no,cellular,4,may,76,2,87,1,success
2621,41,management,married,tertiary,no,298,no,no,cellular,4,may,63,3,272,1,other
2622,57,retired,divorced,primary,no,606,no,no,cellular,4,may,227,2,-1,0,unknown
2623,25,student,single,secondary,no,41,yes,no,telephone,4,may,101,2,-1,0,unknown
2624,26,self-employed,single,tertiary,no,1153,no,no,cellular,4,may,238,3,-1,0,unknown
2625,36,blue-collar,married,secondary,no,218,yes,no,cellular,4,may,619,6,-1,0,unknown
2626,31,services,married,secondary,no,2083,yes,no,cellular,4,may,190,3,355,2,other
2627,32,technician,married,secondary,no,282,yes,no,cellular,4,may,257,2,-1,0,unknown
2628,34,self-employed,married,secondary,no,1813,no,no,cellular,4,may,370,5,-1,0,unknown
2629,33,blue-collar,married,secondary,no,-208,yes,yes,cellular,4,may,306,3,360,1,failure
2630,41,blue-collar,married,secondary,no,72,yes,no,cellular,4,may,130,3,312,3,failure
2631,36,self-employed,married,secondary,no,188,yes,yes,cellular,4,may,1046,3,333,2,success
2632,41,blue-collar,married,secondary,no,1354,yes,no,cellular,4,may,106,2,-1,0,unknown
2633,19,student,single,unknown,no,5368,no,no,cellular,4,may,77,6,-1,0,unknown
2634,33,admin.,divorced,secondary,no,661,yes,no,cellular,4,may,90,4,167,3,failure
2635,40,unemployed,single,secondary,no,356,yes,no,cellular,4,may,225,2,339,2,failure
2636,33,admin.,married,tertiary,no,4984,yes,no,cellular,4,may,181,2,-1,0,unknown
2637,59,management,married,tertiary,no,3421,no,no,cellular,4,may,121,5,-1,0,unknown
2638,30,management,single,tertiary,no,11278,no,no,cellular,4,may,256,3,-1,0,unknown
2639,42,management,married,tertiary,no,2,yes,yes,telephone,4,may,336,9,-1,0,unknown
2640,19,student,single,primary,no,0,no,no,cellular,4,may,72,4,-1,0,unknown
2641,51,blue-collar,married,primary,no,296,yes,no,cellular,4,may,211,5,-1,0,unknown
2642,45,technician,married,secondary,no,1998,no,no,cellular,4,may,237,5,-1,0,unknown
2643,35,management,married,tertiary,no,520,yes,no,cellular,4,may,458,3,17,5,failure
2644,35,services,married,secondary,no,17,yes,no,cellular,4,may,110,4,-1,0,unknown
2645,33,unemployed,single,tertiary,no,850,no,no,cellular,4,may,324,3,-1,0,unknown
2646,33,blue-collar,married,primary,no,5151,yes,yes,cellular,4,may,124,3,165,5,failure
2647,28,management,single,tertiary,no,678,no,yes,cellular,4,may,115,3,-1,0,unknown
2648,38,management,divorced,tertiary,no,6368,yes,no,cellular,4,may,922,4,-1,0,unknown
2649,31,management,single,tertiary,no,2480,no,no,cellular,4,may,107,4,-1,0,unknown
2650,32,management,married,tertiary,no,2458,yes,no,cellular,4,may,77,2,-1,0,unknown
2651,30,entrepreneur,single,secondary,no,572,yes,no,cellular,4,may,220,4,-1,0,unknown
2652,31,management,married,tertiary,no,0,yes,no,cellular,4,may,108,2,167,1,failure
2653,33,management,married,tertiary,no,415,no,no,cellular,4,may,75,5,167,1,other
2654,52,technician,married,tertiary,no,876,no,no,cellular,4,may,601,3,-1,0,unknown
2655,35,management,married,tertiary,no,93,no,no,cellular,4,may,198,2,88,1,other
2656,37,blue-collar,married,primary,no,2939,yes,no,cellular,4,may,191,3,-1,0,unknown
2657,32,technician,single,secondary,no,945,no,no,cellular,4,may,312,3,-1,0,unknown
2658,56,self-employed,married,tertiary,no,349,yes,no,telephone,4,may,186,4,-1,0,unknown
2659,30,self-employed,married,tertiary,no,2666,no,no,cellular,4,may,781,3,89,1,success
2660,31,technician,married,secondary,no,4182,yes,no,cellular,4,may,347,2,-1,0,unknown
2661,32,management,married,tertiary,no,141,yes,no,cellular,4,may,78,3,89,9,success
2662,28,blue-collar,single,primary,no,551,no,no,cellular,4,may,264,3,-1,0,unknown
2663,45,technician,married,secondary,no,280,yes,no,cellular,4,may,562,3,168,2,other
2664,34,management,single,tertiary,no,308,yes,no,cellular,4,may,79,4,269,4,failure
2665,32,self-employed,divorced,tertiary,no,3271,no,no,cellular,4,may,949,3,-1,0,unknown
2666,31,management,single,tertiary,no,775,yes,no,cellular,4,may,99,2,14,3,failure
2667,49,unemployed,married,secondary,no,207,no,no,telephone,4,may,181,2,-1,0,unknown
2668,44,self-employed,married,unknown,no,163,yes,no,cellular,4,may,364,3,-1,0,unknown
2669,39,management,single,tertiary,no,1515,yes,no,cellular,4,may,815,6,167,6,failure
2670,58,management,married,unknown,no,3658,no,no,cellular,4,may,55,2,-1,0,unknown
2671,24,admin.,single,secondary,no,99,no,no,cellular,4,may,65,3,89,3,failure
2672,35,technician,single,secondary,no,538,yes,no,cellular,4,may,313,2,-1,0,unknown
2673,53,technician,married,secondary,no,112,no,no,telephone,4,may,104,4,-1,0,unknown
2674,45,blue-collar,married,primary,no,803,yes,no,cellular,4,may,742,4,-1,0,unknown
2675,32,blue-collar,married,secondary,no,119,no,no,cellular,4,may,20,5,-1,0,unknown
2676,28,blue-collar,single,secondary,no,3817,yes,no,cellular,4,may,528,3,-1,0,unknown
2677,31,technician,married,tertiary,no,636,yes,no,cellular,4,may,352,4,-1,0,unknown
2678,23,student,single,tertiary,no,82,no,no,cellular,4,may,289,4,-1,0,unknown
2679,36,admin.,single,secondary,no,115,no,no,cellular,4,may,134,3,91,1,failure
2680,33,self-employed,single,tertiary,no,1049,no,no,cellular,4,may,126,4,-1,0,unknown
2681,32,blue-collar,married,primary,yes,-148,yes,no,cellular,4,may,326,3,357,15,other
2682,55,technician,single,secondary,no,1199,no,yes,telephone,4,may,159,10,-1,0,unknown
2683,34,entrepreneur,married,tertiary,no,1076,yes,no,cellular,4,may,1121,3,88,10,success
2684,32,blue-collar,single,secondary,no,400,no,no,cellular,4,may,268,3,-1,0,unknown
2685,26,blue-collar,married,primary,no,104,yes,no,cellular,4,may,230,6,360,2,other
2686,32,management,single,tertiary,no,0,no,no,cellular,4,may,417,2,-1,0,unknown
2687,39,management,single,tertiary,no,2454,yes,no,cellular,4,may,716,3,263,2,failure
2688,30,management,single,tertiary,no,533,no,no,cellular,4,may,365,4,-1,0,unknown
2689,63,management,married,unknown,no,2352,no,no,telephone,4,may,475,7,-1,0,unknown
2690,33,management,married,secondary,no,11,yes,no,cellular,4,may,104,3,-1,0,unknown
2691,56,retired,married,primary,no,9367,no,no,cellular,4,may,617,2,-1,0,unknown
2692,57,retired,married,tertiary,no,1458,no,no,telephone,4,may,89,5,-1,0,unknown
2693,30,management,married,tertiary,no,10884,no,no,cellular,4,may,333,2,-1,0,unknown
2694,43,technician,married,secondary,no,4056,no,no,cellular,4,may,13,6,89,2,failure
2695,29,blue-collar,single,secondary,no,369,yes,no,cellular,4,may,174,5,346,3,failure
2696,38,admin.,married,secondary,no,47,yes,no,cellular,4,may,288,5,-1,0,unknown
2697,40,admin.,married,secondary,no,1313,yes,no,cellular,4,may,171,4,-1,0,unknown
2698,31,management,single,tertiary,no,12857,yes,no,telephone,4,may,483,4,87,2,success
2699,36,management,single,tertiary,no,3850,yes,no,cellular,4,may,8,4,-1,0,unknown
2700,43,entrepreneur,married,secondary,no,0,no,no,telephone,4,may,6,4,-1,0,unknown
2701,24,student,single,unknown,no,782,no,no,cellular,4,may,12,7,91,1,other
2702,26,technician,single,secondary,no,237,yes,no,cellular,4,may,1091,3,-1,0,unknown
2703,54,management,married,tertiary,no,1168,no,no,telephone,4,may,150,5,-1,0,unknown
2704,37,student,single,unknown,no,444,no,no,cellular,4,may,1063,5,-1,0,unknown
2705,46,management,single,tertiary,no,334,yes,no,telephone,4,may,36,6,90,2,other
2706,48,blue-collar,married,secondary,no,3776,no,no,telephone,4,may,254,4,-1,0,unknown
2707,51,technician,single,tertiary,no,318,no,no,cellular,4,may,8,3,-1,0,unknown
2708,34,management,married,tertiary,no,201,no,no,telephone,4,may,21,5,-1,0,unknown
2709,30,unemployed,married,secondary,no,476,no,no,cellular,4,may,99,4,-1,0,unknown
2710,36,management,married,tertiary,no,953,yes,yes,telephone,4,may,354,2,335,3,other
2711,29,management,single,tertiary,no,9407,no,no,cellular,4,may,267,6,-1,0,unknown
